Name,FSANZ_Milk,PEST00,PEST06,PEST07,PEST08,PEST08_C6
(E)-Metominostrobin,,,,,X,
(E)-Pyriminobac-methyl,,,,,X,
(Z)-Metominostrobin,,,,,X,
(Z)-Pyriminobac-methyl,,,,,X,
2-Phenylphenol,,,X,,X,X
"2,2-DPA",X,,,,,
"2,4-D",X,,,,,
"2,4-DB",X,,,,,
5-Hydroxyimidacloprid,,,,,X,X
Abamectin,,,,,X,
Acephate,,X,X,,X,X
Acetamiprid,X,,,,X,
Acetamiprid-N-desmethyl,,,,,X,
Acetochlor,,,,,X,
Acibenzolar acid,,,,,X,
Acibenzolar-S-methyl,X,,,,X,
Acifluorfen,X,,,,,
Acrinathrin,,,,,X,
Alachlor,,,,,X,
Alanycarb,,,,,X,
Aldicarb,X,,,,X,
Aldicarbsulfoxide,,,,,X,
Aldoxycarb,X,,,,X,
Aldrin,,X,,X,X,X
Aldrin and dieldrin,,,X,,,
Allidochlor,,,,,X,
Ametoctradin,X,,,,X,
Ametryn,X,,,,X,
Aminopyralid,X,,,,,
Amisulbrom,X,,,,,
Amitraz,X,,,,,
Amitrol,X,,,,,
Anilofos,,,,,X,
Anthraquinone,,,,,X,
Asulam,X,,,,,
Atrazine,X,,,,X,
Azaconazole,,,,,X,
Azamethiphos,X,,,,X,
Azimsulfuron,X,,,,,
Azinphos-methyl,X,X,X,,X,X
Azoxystrobin,X,,X,,X,X
Bacitracin,X,,,,,
Benalaxyl,,X,X,,X,X
Bendiocarb,X,,,,X,
Benfluralin,,,,,X,
Benodanil,,,,,X,
Benoxacor,,,,,X,
Bensulfuron-methyl,,,,,X,
Bensulide,,,,,X,
Bentazone,X,,,,,
Benzalkonium chloride,,,,,X,
Benzyl G penicillin,X,,,,,
Bicyclopyrone,X,,,,,
Bifenazate,X,,,,,
Bifenox,,,,,X,
Bifenthrin,X,,X,,X,X
Bioresmethrin,,,X,,X,X
Bitertanol,X,,X,,X,X
Bixafen,X,,,,,
Boscalid,X,,X,,X,X
Bromacil,X,,,,X,
Bromobutide,,,,,X,
Bromophos,,,,,X,
Bromophos-ethyl,,,,,X,X
Bromopropylate,,,,,X,
Bromoxynil,X,,,,,
Bupirimate,,,,,X,X
Buprofezin,X,,,,X,X
Butachlor,,,,,X,
Butafenacil,X,,,,X,
Butamifos,,,,,X,
Butroxydim,X,,,,,
Cadusafos,,,,,X,
Cafenstrole,,,,,X,
Captan,X,X,X,,X,X
Carbaryl,X,X,X,,X,X
Carbendazim,X,,X,,X,X
Carbetamide,,,,,X,
Carbofuran,X,,,,X,
Carboxin,,,,,X,
Carfentrazone-ethyl,X,,,,X,
Carpropamid,,,,,X,
Chlorantraniliprole,X,,,,X,
Chlorbufam,,,,,X,
Chlordane-cis,,,,X,X,X
Chlordane-trans,,,,X,X,X
Chlorfenapyr,X,,,,X,X
Chlorfenvinphos,,,X,,X,
Chlorhexidine,X,,,,,
Chloridazon,,,,,X,
Chlorimuron-ethyl,,,,,X,
Chlormequat,X,,,,,
Chlorobenzilate,,,,,X,
Chlorothalonil,X,,X,,X,X
Chlorotoluron,,,,,X,
Chloroxuron,,,,,X,
Chlorpropham,,,,,X,
Chlorpyrifos,X,X,X,X,X,X
Chlorpyrifos-methyl,X,,X,,X,X
Chlorsulfuron,X,,,,X,
Chlorthal-dimethyl,X,,X,,X,X
Chlorthiophos,,,,,X,
Chlozolinate,,,,,X,
Chromafenozide,,,,,X,
Cinidon-ethyl,,,,,X,
cis-Mevinphos,,X,,,,
Clethodim,,,,,X,
Clodinafop acid,X,,,,,
Clodinafop-propargyl,X,,,,X,
Clofentezine,X,,,,X,X
Clomazone,X,,,,X,
Clopyralid,X,,,,,
Cloquintocet-mexyl,X,,,,X,
Clothianidin,X,,,,X,
Coumaphos,,,,,X,
Coumaphosoxon,,,,,X,
Cyanazine,,,,,X,
Cyanophos,,,,,X,
Cyantraniliprole,X,,,,,
Cyazofamid,X,,,,X,
Cyclanilide,X,,,,X,
Cycloate,,,,,X,
Cyclosulfamuron,,,,,X,
Cyflufenamid,X,,,,X,
Cyfluthrin,X,,X,,X,X
Cyhalofop-butyl,X,,,,X,
Cyhalothrin,X,,X,,X,X
Cymoxanil,,,,,X,
Cypermethrin,X,,X,,X,X
Cyproconazole,X,,X,,X,X
Cyprodinil,X,,X,,X,X
Cyromazine,X,,,,X,
Daimuron,,,,,X,
"DDD (o,p)",,X,,,X,X
"DDD (p,p)",,X,,X,X,X
"DDE (o,p)",,X,,,X,X
"DDE (p,p)",,X,,X,X,X
DDT,,,X,,,
"DDT (o,p)",,X,,,X,X
"DDT (p,p)",,X,,X,X,X
Deltamethrin,X,X,X,,X,X
Demeton-s-methyl,,,,,X,X
Demeton-s-methylsulfoxide,,,,,X,
Desmedipham,,,,,X,
Diafenthiuron,X,,,,,
Diallate,,,,,X,
Diazinon,X,,X,,X,X
Diazinone,,X,,,,
Dicamba,X,,,,,
Dichlobenil,,,,,X,
Dichlofenthion,,,,,X,
Dichlofluanid,,,,,X,X
Dichlorprop-P,X,,,,,
Dichlorvos,X,X,X,X,X,X
Diclobutrazol,,,,,X,
Diclocymet,,,,,X,
Diclofop-methyl,X,,,,X,
Dicloran,,,X,,X,X
Diclosulam,,,,,X,
Dicofol,,X,X,,X,X
Dicrotophos,,,,,X,
Dicyclanil,,,,,X,
Didecyldimethylammonium chloride,,,,,X,
Dieldrin,,X,,X,X,X
Diethofencarb,,,,,X,
Difenoconazole,X,X,X,,X,X
Diflubenzuron,,,,,X,
Diflufenican,X,,,,X,
Dimepiperate,,,,,X,
Dimethenamid,,,,,X,
Dimethenamid-P,X,,,,,
Dimethipin,X,,,,,
Dimethoate,X,X,X,,X,X
Dimethomorph,X,,X,,X,X
Dimethylvinphos,,,,,X,
Dinotefuran,X,,,,,
Dioxabenzofos,,,,,X,
Dioxathion,,,,,X,
Diphenamid,,,,,X,
Diphenylamine,X,,X,,X,X
Diquat,X,,,,,
Disulfoton,,X,X,,X,
Dithiocarbamates,X,,,,,
Dithiopyr,,,,,X,
Diuron,X,,X,,X,X
Dodine,,,,,X,
Edifenphos,,,,,X,
Emamectin,X,,,,,
Emamectinbenzoate,,,,,X,
Endosulphan,,X,X,,,
Endosulphan sulphate,,X,,X,X,X
Endosulphan-alpha,,X,,X,X,X
Endosulphan-beta,,X,,X,X,X
Endrin,,X,X,X,X,X
Endrin ketone,,,,,X,X
EPN,,,,,X,
Epoxiconazole,X,,,,X,
EPTC,X,,,,X,
Erythromycin,X,,,,,
Esprocarb,,,,,X,
Ethalfluralin,,,,,X,
Ethametsulfuron-methyl,,,,,X,
Ethephon,X,,,,,
Ethiofencarb,,,,,X,
Ethion,X,,,,X,
Ethiprole,,,,,X,
Ethofumesate,X,,,,X,
Ethoprophos,,X,X,,X,
Ethoxyquin,,,,,X,
Ethoxysulfuron,X,,,,X,
Ethychlozate,,,,,X,
Etobenzanid,,,,,X,
Etoxazole,X,,,,X,X
Etridiazole,,,,,X,
Etrimfos,,,,,X,
Famoxadone,,,,,X,
Famphur,,,,,X,
Fenamidone,,,,,X,
Fenamiphos,,X,X,,X,X
Fenarimol,,X,X,,X,X
Fenbendazole,X,,,,,
Fenbuconazole,X,,,,X,
Fenchlorphos,,,,X,X,
Fenhexamid,X,,X,,X,X
Fenitrothion,X,X,X,,X,X
Fenobucarb,,,,,X,
Fenothiocarb,,,,,X,
Fenoxanil,,,,,X,
Fenoxaprop,,,,,X,
Fenoxaprop-ethyl,X,,,,X,
Fenoxycarb,,X,X,,X,X
Fenpiclonil,,,,,X,
Fenpropathrin,,,,,X,
Fenpropidin,,,,,X,
Fenpropimorph,,,,,X,
Fenpyrazamine,X,,,,,
Fenpyroximate,,,X,,X,X
Fensulfothion,,,,,X,
Fenthion,,X,X,,X,X
Fenthion ethyl,,,,,X,
Fenthion sulfone,,,,,X,X
Fenthion sulfoxide,,,,,X,X
Fenthion-oxon,,,,,X,X
Fenthion-oxon sulfone,,,,,X,X
Fenthion-oxon sulfoxide,,,,,X,X
Fentrazamide,,,,,X,
Fenvalerate,X,,X,,X,X
Ferimzone,,,,,X,
Fipronil,X,X,X,,X,X
Fipronil sulfide,,,,,X,X
Fipronil sulphone,,,,,X,X
Flamprop,,,,,X,
Flamprop-methyl,X,,,,X,
Flazasulfuron,,,,,X,
Flonicamid,X,,,,,
Florasulam,X,,,,,
Florpyrauxifen-benzyl,X,,,,,
Fluacrypyrim,,,,,X,
Fluazifop-p-butyl,X,,,,X,
Fluazinam,,,,,X,
Flubendazole,,,,,X,
Flubendiamide,X,,,,X,X
Flucythrinate,X,,,,X,
Fludioxonil,X,,X,,X,X
Fluensulfone,X,,,,,
Flufenacet,,,,,X,
Flumethrin,X,,,,,
Flumetsulam,X,,,,,
Flumiclorac-pentyl,X,,,,X,
Flumioxazin,X,,,,X,
Fluometuron,,,,,X,
Fluopicolide,X,,,,X,
Fluopyram,X,,,,X,
Flupropanate,X,,,,,
Fluquinconazole,X,,,,X,
Fluridone,,,,,X,
Fluroxypyr,X,,,,,
Flusilazole,,,X,,X,X
Fluthiacet-methyl,,,,,X,
Flutolanil,X,,,,X,
Flutriafol,X,,,,X,
Fluvalinate,,,,,X,X
Fluvalinate-tau,,,X,,,
Fluxapyroxad,X,,,,,
Folpet,,,,,X,
Fonofos,,,,,X,
Forchlorfenuron,,,,,X,
Formetanate hydrochloride,,,,,X,
Fosthiazate,,,,,X,
Fuberidazole,,,,,X,
Furalaxyl,,,,,X,
Furametpyr,,,,,X,
Furathiocarb,,,,,X,
Glufosinate and Glufosinate-ammonium,X,,,,,
Glyphosate,X,,,,,
Halauxifen-methyl,X,,,,,
Halosulfuron-methyl,X,,,,X,
Haloxyfop,X,,,,,
Haloxyfop-etotyl,,,,,X,
Haloxyfop-methyl,,,,,X,
HCH,,,X,,,
HCH-alpha,,,,X,X,X
HCH-beta,,,,X,X,X
HCH-delta,,,,X,X,X
HCH-gamma (Lindane),,,X,X,X,X
Heptachlor,,,X,X,X,X
Heptachlor endo-epoxide,,,,,X,X
Heptachlor epoxide,,X,,,,
Heptachlor exo-epoxide,,,,X,X,X
Heptenophos,,,,,X,
Hexachlorobenzene,,,X,,X,X
Hexaconazole,,,X,,X,X
Hexaflumuron,,,,,X,
Hexazinone,X,,,,X,
Hexythiazox,,,X,,X,X
iclosamide,X,,,,,
Imazalil,,,X,,X,X
Imazamethabenz-methyl,,,,,X,
Imazamox,X,,,,,
Imazapic,X,,,,,
Imazapyr,X,,,,,
Imazethapyr,X,,,,,
Imazilil,,X,,,,
Imazosulfuron,,,,,X,
Imidacloprid,X,,,,X,X
Imidacloprid olefin,,,,,X,X
Inabenfide,,,,,X,
Indanofan,,,,,X,
Indoxacarb,X,,X,,X,X
Iodfenphos,,,,,X,
Iodosulfuron-methyl,X,,,,X,
Ipconazole,X,,,,,
Iprobenfos,,,,,X,
Iprodione,X,,X,,X,X
Iprovalicarb,,,,,X,
Isazofos,,,,,X,
Isofenphos,,,,,X,
Isofenphos-methyl,,,,,X,
Isoprocarb,,,,,X,
Isoprothiolane,,,,,X,
Isoproturon,,,,,X,
Isopyrazam,,,,,X,
Isoxaben,X,,,,,
Isoxaflutole,X,,,,,
Isoxathion,,,,,X,
Karbutilate,,,,,X,
Kresoxim-methyl,X,,X,,X,X
Lactofen,,,,,X,
Lenacil,,,,,X,
Leptophos,,,,,X,
Levamisole,X,,,,,
Linuron,X,,X,,X,X
Lufenuron,X,,,,X,
Malathion,X,X,X,,X,X
Mandipropamid,X,,,,X,
MCPA,X,,,,,
MCPB,X,,,,,
Mebendazole,X,,,,,
Mefenacet,,,,,X,
Mefenpyr-diethyl,X,,,,X,
Mepanipyrim,,,,,X,
Mepiquat,X,,,,,
Mepronil,,,,,X,
Mesosulfuron-methyl,X,,,,,
Mesotrione,,,,,X,
Metalaxyl,X,X,X,,X,X
Metamitron,,,,,X,
Metazachlor,X,,,,,
Metconazole,,,,,X,
Methabenzthiazuron,,,,,X,X
Methacrifos,,,,,X,X
Methamidophos,X,,X,,X,X
Methidathion,X,X,X,,X,X
Methiocarb,,,,,X,
Methiocarb sulfone,,,,,X,
Methiocarb sulfoxide,,,,,X,
Methomyl,X,,X,,X,X
Methoxychlor,,,,,X,
Methoxyfenozide,X,,,,X,
Methyl parathion,,X,,,,
Metobromuron,,,,,X,
Metolachlor,X,,,,X,
Metosulam,X,,,,X,
Metrafenone,X,,,,X,
Metribuzin,X,,,,X,X
Metsulfuron-methyl,X,,,,X,
Mevinphos,X,,X,,X,X
Milbemectin,X,,,,,
Milbemycin A3,,,,,X,
Milbemycin A4,,,,,X,
minocyclopyrachlor,X,,,,,
Mirex,,,,,X,
Molinate,,,,,X,
Monepantel,X,,,,,
Monocrotophos,,X,X,,X,X
Monolinuron,,,,,X,
Morantel,X,,,,,
Myclobutanil,,,X,,X,X
Naled,X,,,,,
Napropamide,X,,,,X,
Neomycin,X,,,,,
Nicotine,,,,,X,
Nitrofen,,,,,X,
Nitrothal-isopropyl,,,,,X,
Norflurazon,,,,,X,
Novaluron,X,,,,X,
Octhilinone,,,,,X,
Omethoate,X,X,,,X,X
Oryzalin,,,,,X,
Oxabetrinil,X,,,,X,
Oxadiazon,,,,,X,
Oxadixyl,,,,,X,
Oxamyl,X,,,,X,
Oxathiapiprolin,X,,,,,
Oxfendazole,X,,,,,
Oxycarboxin,,,,,X,
Oxyclozanide,X,,,,,
Oxydemeton-methyl,X,,,,,
Oxyfluorfen,X,X,X,,X,X
Oxytetracycline,X,,,,,
Paclobutrazol,,,X,,X,X
Paraquat,X,,,,,
Parathion,,X,,,X,X
Parathion-ethyl,,,X,,,
Parathion-methyl,,,X,X,X,X
PCB 101,,,,X,,
PCB 118,,,,X,,
PCB 138,,,,X,,
PCB 153,,,,X,,
PCB 180,,,,X,,
PCB 28,,,,X,,
PCB 52,,,,X,,
Penconazole,,,X,,X,X
Pencycuron,,,,,X,
Pendimethalin,X,,X,,X,X
Penflufen,X,,,,,
Pentachlorobenzene,,,,,X,
Penthiopyrad,X,,,,X,
Permethrin,X,X,X,,X,X
Phenmedipham,X,,,,X,
Phenothrin,,,X,,,
Phenthoate,,,,,X,
Phorate,X,X,X,,X,X
Phoratesulfone,,,,,X,X
Phoratesulfoxide,,,,,X,X
Phosalone,,,,,X,
Phosmet,X,X,X,,X,X
Phosphamidon,,,,,X,
Phoxim,,,,,X,
Picloram,X,,,,,
Picolinafen,X,,,,X,
Pinoxaden,X,,,,,
Piperonyl butoxide,,X,X,,X,X
Piperophos,,,,,X,
Pirimicarb,X,X,X,,X,X
Pirimiphos-methyl,X,X,X,,X,X
Pretilachlor,,,,,X,
Procaine penicillin,X,,,,,
Prochloraz,,,,,X,X
Procymidone,X,X,X,,X,X
Profenofos,,,X,,X,X
Profoxydim,X,,,,,
Prohexadione-calcium,X,,,,,
Promecarb,,,,,X,
Prometryn,,,,,X,
Propachlor,X,,,,X,
Propamocarb,X,,,,X,
Propanil,X,,,,X,
Propaphos,,,,,X,
Propaquizafop,X,,,,X,
Propargite,X,,X,,X,X
Propazine,,,,,X,
Propetamphos,,,,,X,
Propham,,,,,X,
Propiconazole,X,,X,,X,X
Propoxur,,,,,X,
Propyzamide,X,,,,X,
Proquinazid,X,,,,X,
Prosulfocarb,X,,,,X,
Prothioconazole,X,,,,,
Prothiofos,,,X,,X,X
Prothiophos,,X,,,,
Pymetrozine,X,,X,,X,X
Pyraclofos,,,,,X,
Pyraclostrobin,X,,X,,X,X
Pyraflufen-ethyl,X,,,,X,
Pyrasulfotole,X,,,,X,
Pyrazophos,,,,,X,
Pyrethrins,,,X,,X,X
Pyributicarb,,,,,X,
Pyridaben,,,,,X,
Pyridaphenthion,,,,,X,
Pyridate,X,,,,,
Pyrifenox,,,,,X,
Pyriftalid,,,,,X,
Pyrimethanil,X,,X,,X,X
Pyrimidifen,,,,,X,
Pyriofenone,X,,,,,
Pyriproxyfen,X,,X,,X,X
Pyrithiobac sodium,X,,,,,
Pyroquilon,,,,,X,
Pyroxasulfone,X,,,,,
Pyroxsulam,X,,,,X,
Quinalphos,,,,,X,
Quinoclamine,,,,,X,
Quinoxyfen,X,,,,X,
Quintozene,,,X,,X,X
Quizalofop-ethyl,X,,,,X,
Quizalofop-p-tefuryl,X,,,,,
Rimsulfuron,,,,,X,
Saflufenacil,X,,,,X,
Sebuthylazine,,,,,X,
Sedaxane,X,,,,,
Sethoxydim,X,,,,X,
Simazine,X,,,,X,X
Simeconazole,,,,,X,
Simetryn,,,,,X,
Spinetoram,X,,,,X,X
Spinosad,X,,X,,X,X
Spiromesifen,,,,,X,
Spiromesifen enol,,,,,X,
Spirotetramat,X,,X,,X,X
Spirotetramat enol,,,,,X,X
Spirotetramat enol-glucoside,,,,,X,X
Spirotetramat-keto-hydroxy,,,,,X,X
Spirotetramat-mono-hydroxy,,,,,X,X
Spiroxamine,X,,,,X,
Streptomycin and Dihydrostreptomycin,X,,,,,
Sulfentrazone,,,,,X,
Sulfosulfuron,X,,,,,
Sulfoxaflor,X,,,,,
Sulprofos,,,,,X,
Tebuconazole,X,,X,,X,X
Tebufenozide,X,,X,,X,X
Tebufenpyrad,,X,X,,X,X
Tebuthiuron,X,,,,X,
Tecnazene,,,,,X,
Teflubenzuron,,,,,X,
Tefluthrin,,,,,X,
Temephos,,,,,X,
Tepraloxydim,X,,,,X,
Terbacil,,,,,X,
Terbufos,,,X,,X,X
Terbumeton,,,,,X,
Terbuthylazine,X,,,,X,
Terbutryn,X,,,,X,
Tetrachlorvinphos,X,,,,X,
Tetraconazole,X,,,,X,
Tetracycline,X,,,,,
Tetradifon,,,X,,X,X
Tetrahydrophthalimide,,,,,X,
Thenylchlor,,,,,X,
Thiabendazole,X,,X,,X,X
Thiacloprid,X,,X,,X,X
Thiamethoxam,X,,X,,X,X
Thiazopyr,,,,,X,
Thidiazuron,X,,,,X,
Thifensulfuron-methyl,X,,,,,
Thiobencarb,,,,,X,
Thiocyclam hydrogen oxalate,,,,,X,
Thiodicarb,X,,,,,
Thiometon,X,,,,X,
Tiadinil,,,,,X,
Tolclofos-methyl,,,,,X,X
Tolylfluanid,,,,,X,
Total DDD,,X,,,,
Total DDE,,X,,,,
Total DDT,,X,,,,
Tralkoxydim,,,,,X,
trans-Chlorfenvinphos,,X,,,,
Transfluthrin,,,,,X,
Tri-allate,,,,,X,
Triadimefon,X,X,X,,X,X
Triadimenol,X,,X,,X,X
Triallate,X,,,,,
Triasulfuron,X,,,,X,
Triazophos,,,,,X,
Tribenuron-methyl,X,,,,X,
Tribufos,,,,,X,
Trichlorfon,X,,X,,X,X
Triclabendazole,X,,,,,
Triclopyr,X,,,,,
Tricyclazole,,,,,X,
Trifloxystrobin,X,,X,,X,X
Trifloxysulfuron-sodium,X,,,,X,
Triflumizole,,,,,X,
Triflumuron,X,,,,X,
Trifluralin,X,,,,X,
Triflusulfuron-methyl,,,,,X,
Triforine,,,,,X,
Trinexapac-ethyl,X,,,,,
Triticonazole,X,,,,X,
Tylosin,X,,,,,
Uniconazole-P,,,,,X,
Vamidothion,,,,,X,X
Vinclozolin,,,X,,X,X
XMC,,,,,X,
yclaniliprole,X,,,,,
Zoxamide,,,,,X,
